occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.608,0.026,0.0831,0.0,0.0,0.0,0.0,0.261,0,0,0,0
1.0,0.608,0.026,0.0831,0.0,0.0,0.0,0.0,0.174,0,0,0,0
1.0,0.676,0.0532,0.241,0.0,0.0,0.0,0.0,0.483,0,0,0,0
1.0,0.68,0.0551,0.252,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.68,0.0551,0.252,0.0,0.0,0.0,0.933,0.348,0,0,0,0
1.0,0.68,0.0551,0.252,0.0,0.0,0.0,1.0,0.162,0,0,0,0
1.0,0.717,0.0728,0.31,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.793,0.101,0.438,0.0,0.0,0.0,0.133,0.0,0,0,0,0
1.0,0.798,0.103,0.447,0.0,0.0,0.0,0.0,0.135,0,0,0,0
1.0,0.798,0.103,0.447,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.816,0.125,0.473,0.0,0.0,0.0,0.0,0.261,0,0,0,0
0.689,0.738,0.0919,0.343,0.0,0.0,0.0,0.0,0.545,0,0,0,0
0.667,0.732,0.0895,0.333,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.356,0.653,0.0551,0.201,0.0,0.0,0.0,0.0,0.0188,0,0,0,0
0.333,0.647,0.0599,0.195,0.0,0.0,0.0,0.0,0.162,0,0,0,0
0.333,0.647,0.0604,0.196,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0604,0.196,0.0,0.0,0.0,0.0,0.261,0,0,0,0
0.333,0.647,0.0604,0.196,0.0,0.0,0.0,0.0,0.069,0,0,0,0
0.333,0.647,0.066,0.192,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0664,0.191,0.0,0.0,0.0,0.0,0.208,0,0,0,0
0.333,0.647,0.0664,0.191,0.0,0.0,0.0,0.0,0.167,0,0,0,0
0.333,0.647,0.0664,0.191,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.072,0.186,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0724,0.185,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0724,0.185,0.0,0.0,0.0,0.0,0.0,0,0,0,0
